"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2023","108.720","108.320","108.940","107.340","1.13M","0.89%"
"02/21/2023","107.760","108.900","109.180","107.360","1.53M","-1.39%"
"02/20/2023","109.280","109.560","109.680","108.620","615.04K","-0.18%"
"02/17/2023","109.480","109.000","109.880","108.200","1.75M","-1.37%"
"02/16/2023","111.000","111.500","111.820","109.860","1.29M","0.18%"
"02/15/2023","110.800","109.900","110.980","109.760","1.11M","0.82%"
"02/14/2023","109.900","109.960","111.320","109.800","1.25M","-0.20%"
"02/13/2023","110.120","109.500","110.340","109.200","984.62K","0.46%"
"02/10/2023","109.620","110.660","110.820","109.120","1.64M","-1.56%"
"02/09/2023","111.360","110.980","112.160","110.940","1.31M","0.63%"
"02/08/2023","110.660","111.440","111.480","110.320","1.53M","-0.20%"
"02/07/2023","110.880","111.500","111.560","110.280","1.60M","-0.86%"
"02/06/2023","111.840","111.400","112.280","111.000","1.48M","-0.39%"
"02/03/2023","112.280","111.500","112.280","110.640","1.92M","-0.27%"
"02/02/2023","112.580","110.000","112.740","109.900","2.85M","3.06%"
"02/01/2023","109.240","107.660","109.920","107.560","2.20M","0.79%"
"01/31/2023","108.380","106.980","108.380","106.140","2.03M","1.20%"
"01/30/2023","107.100","104.040","107.480","103.740","2.33M","2.19%"
"01/27/2023","104.800","102.780","104.960","102.400","2.08M","-0.19%"
"01/26/2023","105.000","105.200","105.580","101.460","3.43M","-0.89%"
"01/25/2023","105.940","106.900","107.100","105.140","1.26M","-0.64%"
"01/24/2023","106.620","106.900","107.320","106.240","1.33M","-0.60%"
"01/23/2023","107.260","107.620","107.960","106.480","1.10M","0.26%"
"01/20/2023","106.980","107.000","107.240","105.840","1.80M","0.45%"
"01/19/2023","106.500","108.480","108.600","106.020","2.20M","-2.29%"
"01/18/2023","109.000","108.000","109.420","107.400","1.66M","1.58%"
"01/17/2023","107.300","107.060","108.280","106.180","1.48M","-0.11%"
"01/16/2023","107.420","107.940","107.940","107.020","952.51K","-0.20%"
"01/13/2023","107.640","107.280","108.000","106.980","1.77M","0.84%"
"01/12/2023","106.740","106.160","107.440","105.620","1.88M","0.09%"
"01/11/2023","106.640","105.000","106.640","103.800","1.72M","1.87%"
"01/10/2023","104.680","103.480","105.000","103.260","1.36M","0.11%"
"01/09/2023","104.560","103.260","104.840","102.180","2.17M","2.17%"
"01/06/2023","102.340","100.680","102.340","100.220","1.35M","1.49%"
"01/05/2023","100.840","100.140","101.940","100.140","1.22M","0.14%"
"01/04/2023","100.700","98.800","101.100","98.600","1.65M","2.22%"
"01/03/2023","98.510","97.340","99.200","97.100","1.46M","1.12%"
"01/02/2023","97.420","97.170","97.540","96.440","923.51K","1.07%"
"12/30/2022","96.390","97.340","97.340","96.120","749.37K","-1.23%"
